#{"t_start": 1769525024.005136, "env_id": "None"}
r,l,t
-5435325.424117,34560,49871.655944
-14270055.364265,34560,49943.733141
-3186064.272357,35712,50018.412176
-19667109.345239,34560,50090.510607
-23730807.173086,35712,50165.867106
-21291169.171414,35712,50240.95693
-22275340.129157,35712,50315.676364
-10144732.820938,35712,50392.218024
-7380204.460982,35712,50466.845162
-6281284.074637,35712,50541.528765
-21707435.388598,35712,50616.330883
-12086839.96458,34560,50689.294224
-17547900.801017,35712,50764.365556
-21404079.246874,35712,50841.43548
-5937151.967491,34560,50915.488123
-11715750.803359,34560,50987.459297
-8528883.702626,35712,51062.203281
-5560612.08308,35712,51136.994629
-5593617.706941,35712,51211.669758
-6675933.541694,34560,51283.756868
-15613473.063054,34560,51356.312758
-8438438.071999,34560,51428.497774
-4758946.692743,35712,51503.521609
-27787806.457344,34560,51576.591274
-18889690.136237,35712,51652.231501
-8830321.598503,35712,51727.53099
-20182007.125459,35712,51803.120628
-18381510.89103,35712,51878.05466
-13462244.724076,35712,51952.772721
-4056620.703341,35712,52028.373215
-23759628.969354,35712,52103.567231
-8465390.612101,34560,52176.229105
-6029679.227575,35712,52251.499985
-10982943.108821,35712,52326.159443
-20462835.800844,34560,52399.06338
-9350864.157022,34560,52472.235822
-22661641.509356,35712,52547.162262
-7087997.670331,35712,52622.561036
-11018583.07191,35712,52697.247716
-5328690.071878,34560,52769.620729
-17057754.625674,34560,52841.904759
-24161397.157094,34560,52914.61459
-5448622.382228,35712,52989.739216
-6398480.207331,34560,53061.867239
-9245327.248649,35712,53137.303958
-9175004.92603,35712,53214.150947
-8362081.158665,35712,53290.090152
-18547445.286158,35712,53366.100665
-9584049.810016,35712,53442.114686
-11508822.361927,35712,53518.114192
-17426239.738717,35712,53593.059725
-3541004.186514,34560,53665.688678
-14351514.340181,35712,53742.310093
-16970967.968488,35712,53817.291709
-7509868.253673,34560,53890.105716
-6147562.254081,34560,53962.765131
-7085494.90991,35712,54038.090441
-8033823.693371,35712,54113.859382
-18668503.080025,35712,54188.574692
-11811687.944545,34560,54261.140556
-5195345.526879,34560,54333.532561
-20489172.287139,34560,54406.092122
-3104934.13501,35712,54481.096108
-9140648.348604,34560,54553.566587
-14943966.2861,35712,54628.670239
-7443057.700818,35712,54703.661072
-19081297.153058,35712,54779.115594
-7190070.695021,35712,54853.945543
-6986409.031131,35712,54928.586245
-34321319.491663,35712,55004.04073
-19409551.859708,35712,55078.418438
-9063533.31233,34560,55151.069398
-17220741.992661,35712,55226.125216
-3807643.085338,35712,55301.041371
-6003996.477394,34560,55373.086748
-6496379.830406,34560,55445.721432
-6025282.715992,35712,55520.900024
-16420457.738673,35712,55596.600652
-33158953.544942,35712,55671.731635
-13562851.118435,34560,55745.213897
-9228565.07719,34560,55817.726373
-8818366.3436,34560,55890.46387
-6120807.188496,35712,55966.297225
-6390600.388031,34560,56039.265506
-7090693.629126,35712,56115.073192
-16542234.429092,35712,56191.081788
-7523195.843732,35712,56267.186692
-7893011.475148,35712,56342.513945
-6619670.994363,35712,56417.861189
-9908282.939171,35712,56492.998765
-7960608.529377,35712,56567.723525
-5867883.68354,34560,56640.366645
-12399299.876107,35712,56715.118125
-10951073.045714,35712,56789.969742
-4302165.542558,34560,56862.855223
-13463090.856871,34560,56935.463259
-14406230.872046,35712,57012.075759
-5627708.771324,35712,57086.940058
-13791957.400213,35712,57163.526031
-6200577.75495,34560,57236.348298
-14284830.505711,34560,57310.573074
-9093104.04799,34560,57383.205362
-7080978.494754,35712,57457.959089
-5081517.359465,34560,57530.544011
-16574031.073404,35712,57606.022987
