#{"t_start": 1767930881.8028767, "env_id": "None"}
r,l,t
-51493741.353796,8784,46401.687087
-36889181.658075,8784,46418.35224
-36159586.327988,8784,46435.137151
-33813272.004226,8784,46451.81731
-16651363.879775,8784,46510.457172
-15038408.420394,8784,46527.103546
-37701055.420424,8784,46543.78134
-8772694.345966,8784,46560.348755
-9413361.29715,8784,46576.910137
-17684763.832376,8784,46593.607509
-34103024.003106,8784,46610.23705
-15656376.117969,8784,46626.74825
-35331165.739254,8784,46643.553935
-31262331.708182,8784,46660.252539
-60846387.901612,8784,46676.904152
-38988719.793329,8784,46693.682244
-10761308.503013,8784,46710.224202
-21020367.465528,8784,46726.85012
-8378852.199732,8784,46743.435656
-37493265.485494,8784,46760.038574
-18449491.847312,8784,46776.824899
-8191595.352555,8784,46793.524565
-16085747.90952,8784,46810.323442
-16421737.294163,8784,46826.973397
-32730395.70978,8784,46843.699316
-6612715.145923,8784,46860.317316
-17219273.534105,8784,46877.033607
-20401627.536695,8784,46893.770044
-7605295.886364,8784,46910.693492
-14004217.782941,8784,46927.462697
-28491139.886581,8784,46950.317301
-10778275.776788,8784,46966.897746
-36980296.517341,8784,46983.547873
-48724924.128373,8784,47000.195273
-47271374.052908,8784,47016.80882
-29900819.42719,8784,47033.344985
-25952944.115148,8784,47049.914069
-6566599.274458,8784,47066.498753
-18741071.379015,8784,47083.115788
-24629211.421329,8784,47099.665233
-31507397.659484,8784,47116.296555
-25992191.312318,8784,47132.966783
-29207578.001703,8784,47149.620136
-32596146.877922,8784,47166.27544
-8373415.212438,8784,47182.92312
-9791751.682752,8784,47199.546218
-7200935.580013,8784,47216.241266
-31701274.63337,8784,47232.950327
-51507153.850713,8784,47249.601392
-7646461.791526,8784,47266.286177
-28905723.08435,8784,47282.940645
-15954573.096009,8784,47299.602747
-18379815.857991,8784,47316.201592
-36960454.695133,8784,47332.786097
-15467144.951809,8784,47391.455521
-9066587.007572,8784,47408.134001
-29108599.669571,8784,47424.84603
-5332490.639588,8784,47441.496036
-7674809.20266,8784,47458.174493
-27741199.812512,8784,47474.907237
-12824450.220391,8784,47491.549703
-53575244.340824,8784,47508.235676
-41222040.450241,8784,47524.876077
-77208099.499955,8784,47541.609679
-50735028.345298,8784,47558.283875
-19131461.256713,8784,47574.904559
-13189319.793346,8784,47591.516751
-10102600.691056,8784,47608.138378
-28482854.185932,8784,47624.758927
-20181414.856932,8784,47641.413383
-29322369.641618,8784,47657.916406
-31065569.936134,8784,47674.539433
-22536008.222326,8784,47691.195894
-8501877.888316,8784,47707.864421
-8939323.218155,8784,47724.618042
-37580658.425395,8784,47741.350772
-17095825.894747,8784,47758.000048
-9624216.986824,8784,47774.758028
-37955768.776045,8784,47791.479376
-45258960.103885,8784,47808.263096
-64846639.358153,8784,47825.043625
-27731742.945217,8784,47841.808906
-17587522.543945,8784,47858.473349
-37592163.553025,8784,47875.155385
-6503073.215202,8784,47891.869785
-52188724.552549,8784,47908.598068
-40890584.903553,8784,47925.316576
-14216228.683093,8784,47941.919382
-20289284.331229,8784,47958.651366
-25005351.098767,8784,47975.370066
-41129313.9814,8784,47992.05876
-37850227.176521,8784,48008.812564
-54219498.21404,8784,48025.600645
-39101783.33935,8784,48042.355564
-27490229.863347,8784,48059.147495
-51703827.84053,8784,48075.925416
-8220856.213826,8784,48092.746038
-25950959.226572,8784,48109.480639
-45427921.22872,8784,48126.271787
-16379598.531023,8784,48143.093423
-29627760.185336,8784,48159.806991
-58435853.045541,8784,48176.610981
-21004024.564634,8784,48193.346847
-8531530.625055,8784,48210.097947
-22910674.346746,8784,48268.738761
-89368522.56536,8784,48285.55166
-21870680.587501,8784,48302.354814
-16425248.741478,8784,48319.161696
-35683971.908773,8784,48335.957847
-15902141.676263,8784,48352.657139
-9784955.49918,8784,48369.405871
-27172023.230476,8784,48386.27496
-35558440.530248,8784,48403.22979
-72083265.237824,8784,48420.137783
-12694614.897938,8784,48436.935196
-69801600.543739,8784,48453.779339
-27772358.105327,8784,48470.520137
-55223744.091568,8784,48487.278518
-14483811.074993,8784,48503.990072
-36458069.684732,8784,48520.882648
-40916366.960646,8784,48537.781866
-18202997.821904,8784,48554.619192
-42428192.604126,8784,48571.489962
-14912590.318253,8784,48588.287308
-10775306.159716,8784,48605.200793
-40340494.611461,8784,48622.043517
-8860687.277065,8784,48638.816567
-18251043.394808,8784,48655.705788
-10877635.623723,8784,48672.638004
-9618550.09649,8784,48689.62253
-32198379.983972,8784,48706.548991
-25559388.637429,8784,48723.408448
-39936353.966578,8784,48740.244129
-11069536.859898,8784,48757.046047
-7503869.819437,8784,48773.896675
-7299162.454305,8784,48790.717941
-9542372.992856,8784,48807.554276
-7534283.324297,8784,48824.423935
-8544087.635647,8784,48841.319443
-10383232.514093,8784,48858.212428
-5454345.772018,8784,48875.033746
-54896518.24182,8784,48891.950946
-59267933.975312,8784,48908.842406
-38949434.792955,8784,48925.651823
-7853553.702385,8784,48942.584077
-14558986.168332,8784,48959.461483
-48164218.254273,8784,48976.378561
-35143909.626122,8784,48993.255612
-28975947.063387,8784,49010.050124
-6050354.36149,8784,49026.851557
-57596387.066287,8784,49043.692909
-28415170.516667,8784,49060.591733
-19473689.150163,8784,49077.461451
-30733270.110002,8784,49094.363154
-41300567.880252,8784,49153.345008
-18019528.736173,8784,49170.228057
-5473966.565206,8784,49187.165119
-18679337.974041,8784,49204.096613
-48242736.460566,8784,49220.995862
-11125903.438843,8784,49237.929714
-31099251.620068,8784,49254.788466
-15169556.329907,8784,49271.635021
-36583986.103332,8784,49288.515412
-4883259.081533,8784,49305.325647
-26460099.714411,8784,49322.140975
-26061169.205357,8784,49338.982788
-48496759.930675,8784,49355.885172
-37250989.015936,8784,49372.737027
-26277110.330022,8784,49389.63244
-4498942.825694,8784,49406.515448
-18210002.74075,8784,49423.359746
-22346244.468413,8784,49440.290844
-11286611.492557,8784,49457.247672
-11984612.534999,8784,49474.202208
-36475438.571847,8784,49491.151561
-82687787.344678,8784,49507.995216
-26941758.85348,8784,49524.928655
-14023973.346259,8784,49541.858421
-14097943.889798,8784,49558.818701
-13634116.100681,8784,49575.744498
-12255100.796045,8784,49592.614633
-14756735.958992,8784,49609.43795
-47190581.005362,8784,49626.334584
-4039134.613804,8784,49643.272375
-25489850.917771,8784,49660.207268
-12340560.723155,8784,49677.14514
