train/n_updates,time/total_timesteps,time/time_elapsed,train/learning_rate,time/fps,train/loss,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,eval/mean_ep_length,eval/mean_reward
55197640,55198656,111532,4.2900045537340614e-05,494,5.753499556249153e-06,0.1,-8891980.211751489,8784.0,6284,,
55232780,55233792,111603,4.280003415300547e-05,494,5.991245575387438e-06,0.1,-8955512.522852011,8784.0,6288,,
55267920,55268928,111673,4.270002276867031e-05,494,5.599133203304518e-06,0.1,-8872912.38289267,8784.0,6292,,
55303060,55304064,111743,4.260001138433516e-05,494,4.723543963791599e-06,0.1,-8811056.26077652,8784.0,6296,,
55338180,55339200,,4.250005692167578e-05,,4.899178247796954e-06,0.1,,,,8784.0,-5975770.2732405
,55339200,111856,,494,,0.1,-8867558.480436899,8784.0,6300,,
55373320,55374336,111927,4.240004553734063e-05,494,4.337369739459973e-06,0.1,-8734340.225511221,8784.0,6304,,
55408460,55409472,111997,4.2300034153005475e-05,494,5.337821562534373e-06,0.1,-8554834.57938172,8784.0,6308,,
55443600,55444608,112068,4.220002276867032e-05,494,4.248116590588325e-06,0.1,-8579678.52631145,8784.0,6312,,
55478740,55479744,112138,4.2100011384335145e-05,494,5.319271258485969e-06,0.1,-8660239.301605629,8784.0,6316,,
55513860,55514880,112209,4.2000056921675765e-05,494,6.3421606000702015e-06,0.1,-8862168.889154522,8784.0,6320,,
55549000,55550016,112279,4.190004553734062e-05,494,4.991817900190654e-06,0.1,-9015413.49588427,8784.0,6324,,
55584140,55585152,112349,4.180003415300546e-05,494,5.509310346951679e-06,0.1,-9194472.55520431,8784.0,6328,,
55619280,55620288,112420,4.170002276867031e-05,494,4.1578105197004335e-06,0.1,-8943902.795698998,8784.0,6332,,
55654420,55655424,112490,4.160001138433516e-05,494,4.09641227179236e-06,0.1,-8768865.49115102,8784.0,6336,,
55689540,55690560,112560,4.150005692167578e-05,494,4.833922037050797e-06,0.1,-8771788.56511245,8784.0,6340,,
55724680,55725696,112631,4.1400045537340625e-05,494,4.636528217361047e-06,0.1,-8792185.627656559,8784.0,6344,,
55759820,55760832,112701,4.130003415300547e-05,494,4.440500754299137e-06,0.1,-8951666.3661016,8784.0,6348,,
